,,,,,,,MÃ SỐ TUYẾN / ROUTE No,51,51,51,53,51,55,51,55,55,66,51,55,66,51,66,51,66,51,51,55,51,55,51,66,51,66,51,55,66,51,66,51,51,51,55,51,51,66,51,66,51,55,66,51,51,51,52,52,52,52,52,52
,,,,,,,KHÔNG HOẠT ĐỘNG / Will NOT Run on,,"T7,CN",,CN,"T7,CN","T7,CN",,"T7,CN","T7,CN",↓,,"T7,CN",↓,,↓,,↓,,,T2-6,,"T7,CN",,↓,,↓,,,↓,,↓,,,,,,,↓,,↓,,T2-6,↓,,,,,,,,,
,,,,,,,HƯỚNG ĐI / SERVICE TO*,ĐH,ĐH,ĐH,NTN,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,ĐH,HK,HK,HK,HK,HK,HK
Tòa nhà Becamex,,,,,,,,6:00,6:20,6:30,6:33,6:40,6:50,7:00,7:05,7:20,,7:30,7:45,,8:00,,8:30,,9:00,9:30,9:45,10:00,10:25,10:30,,11:00,,11:30,11:45,,12:00,,12:30,13:00,13:30,13:45,14:00,14:30,,15:00,,15:30,15:45,,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00
Sân vận động Gò Đậu - Bình Dương,,,,,,,,6:02,6:22,6:32,6:35,6:42,↓,7:02,↓,↓,,7:32,↓,,8:02,,8:32,,9:02,9:32,↓,10:02,↓,10:32,,11:02,,11:32,↓,,12:02,,12:32,13:02,13:32,↓,14:02,14:32,,15:02,,15:32,↓,,16:02,16:32,17:02,17:32,18:02,18:32,19:02,19:32,20:02
Bến xe khách tỉnh Bình Dương,,,,,,,,6:03,6:24,6:34,6:37,6:44,↓,7:03,↓,↓,,7:33,↓,,8:03,,8:33,,9:03,9:33,↓,10:03,↓,10:33,,11:03,,11:33,↓,,12:03,,12:33,13:03,13:33,↓,14:03,14:33,,15:03,,15:33,↓,,16:03,16:33,17:03,17:33,18:03,18:33,19:03,19:33,20:03
Ngã ba Lò Chén,,,,,,,,6:05,6:27,6:37,6:40,6:47,↓,7:05,↓,↓,,7:35,↓,,8:05,,8:35,,9:05,9:35,↓,10:05,↓,10:35,,11:05,,11:35,↓,,12:05,,12:35,13:05,13:35,↓,14:05,14:35,,15:05,,15:35,↓,,16:05,16:35,17:05,17:35,18:05,18:35,19:05,19:35,20:05
Nhà sách Bình Minh,,,,,,,,6:07,6:30,6:40,6:43,6:50,↓,7:08,↓,↓,,7:38,↓,,8:08,,8:38,,9:08,9:38,↓,10:08,↓,10:38,,11:08,,11:38,↓,,12:08,,12:38,13:08,13:38,↓,14:08,14:38,,15:08,,15:38,↓,,16:08,16:38,17:08,17:38,18:08,18:38,19:08,19:38,20:08
Công viên Phú Cường,,,,,,,,6:07,6:30,6:40,6:43,6:50,↓,7:08,↓,↓,,7:38,↓,,8:08,,8:38,,9:08,9:38,↓,10:08,↓,10:38,,11:08,,11:38,↓,,12:08,,12:38,13:08,13:38,↓,14:08,14:38,,15:08,,15:38,↓,,16:08,16:38,17:08,17:38,18:08,18:38,19:08,19:38,20:08
Chùa Bà Thiên Hậu,,,,,,,,6:09,6:32,6:42,6:45,6:52,↓,7:10,↓,↓,,7:40,↓,,8:10,,8:40,,9:10,9:40,↓,10:10,↓,10:40,,11:10,,11:40,↓,,12:10,,12:40,13:10,13:40,↓,14:10,14:40,,15:10,,15:40,↓,,16:10,16:40,17:10,17:40,18:10,18:40,19:10,19:40,20:10
Bệnh viện Phụ Sản Nhi Bình Dương,,,,,,,,6:11,6:34,6:44,6:47,6:54,↓,7:12,↓,↓,,7:42,↓,,8:12,,8:42,,9:12,9:42,↓,10:12,↓,10:42,,11:12,,11:42,↓,,12:12,,12:42,13:12,13:42,↓,14:12,14:42,,15:12,,15:42,↓,,16:12,16:42,17:12,17:42,18:12,18:42,19:12,19:42,20:12
Chợ Cây Dừa,,,,,,,,6:13,6:36,6:46,6:49,6:56,↓,7:14,↓,↓,,7:44,↓,,8:14,,8:44,,9:14,9:44,↓,10:14,↓,10:44,,11:14,,11:44,↓,,12:14,,12:44,13:14,13:44,↓,14:14,14:44,,15:14,,15:44,↓,,16:14,16:44,17:14,17:44,18:14,18:44,19:14,19:44,20:14
Công an phường Hiệp Thành,,,,,,,,6:15,6:38,6:48,6:51,6:58,↓,7:16,↓,↓,,7:46,↓,,8:16,,8:46,,9:16,9:46,↓,10:16,↓,10:46,,11:16,,11:46,↓,,12:16,,12:46,13:16,13:46,↓,14:16,14:46,,15:16,,15:46,↓,,16:16,16:46,17:16,17:46,18:16,18:46,19:16,19:46,20:16
Ngã Ba Đại Lộ BD - Huỳnh Văn Lũy,,,,,,,,↓,↓,↓,↓,↓,6:53,↓,7:08,7:23,,↓,7:48,,↓,,↓,,↓,↓,9:48,↓,10:28,↓,,↓,,↓,11:48,,↓,,↓,↓,↓,13:48,↓,↓,,↓,,↓,15:48,,↓,↓,↓,↓,↓,↓,↓,↓,↓
Thư viện Tỉnh Bình Dương,,,,,,,,6:16,6:40,6:50,6:53,7:00,6:57,7:17,7:12,7:27,,7:47,7:52,,8:17,,8:47,,9:17,9:47,9:52,10:17,10:32,10:47,,11:17,,11:47,11:52,,12:17,,12:47,13:17,13:47,13:52,14:17,14:47,,15:17,,15:47,15:52,,16:17,16:47,17:17,17:47,18:17,18:47,19:17,19:47,20:17
Bệnh viện Đa khoa Tỉnh Bình Dương,,,,,,,,6:17,6:41,6:51,6:54,7:01,6:58,7:18,7:13,7:28,,7:48,7:53,,8:18,,8:48,,9:18,9:48,9:53,10:18,10:33,10:48,,11:18,,11:48,11:53,,12:18,,12:48,13:18,13:48,13:53,14:18,14:48,,15:18,,15:48,15:53,,16:18,16:48,17:18,17:48,18:18,18:48,19:18,19:48,20:18
Ngã tư PNT - Nguyễn Đức Thuận,,,,,,,,6:18,6:42,6:52,6:55,7:02,6:59,7:19,7:14,7:29,,7:49,7:54,,8:19,,8:49,,9:19,9:49,9:54,10:19,10:34,10:49,,11:19,,11:49,11:54,,12:19,,12:49,13:19,13:49,13:54,14:19,14:49,,15:19,,15:49,15:54,,16:19,16:49,17:19,17:49,18:19,18:49,19:19,19:49,20:19
Trường trung tiểu học Petrus Ký,,,,,,,,6:19,6:43,6:53,6:56,7:03,7:00,7:20,7:15,7:30,,7:50,7:55,,8:20,,8:50,,9:20,9:50,9:55,10:20,10:35,10:50,,11:20,,11:50,11:55,,12:20,,12:50,13:20,13:50,13:55,14:20,14:50,,15:20,,15:50,15:55,,16:20,16:50,17:20,17:50,18:20,18:50,19:20,19:50,20:20
Ngã tư PNT - Mỹ Phước Tân Vạn ,,,,,,,,6:20,6:44,6:54,6:57,7:04,7:01,7:21,7:16,7:31,,7:51,7:56,,8:21,,8:51,,9:21,9:51,9:56,10:21,10:36,10:51,,11:21,,11:51,11:56,,12:21,,12:51,13:21,13:51,13:56,14:21,14:51,,15:21,,15:51,15:56,,16:21,16:51,17:21,17:51,18:21,18:51,19:21,19:51,20:21
Trung tâm văn hoá thể thao Tp.Thủ Dầu Một,,,,,,,,6:22,6:46,6:56,6:59,7:06,7:03,7:23,7:18,7:33,,7:53,7:58,,8:23,,8:53,,9:23,9:53,9:58,10:23,10:38,10:53,,11:23,,11:53,11:58,,12:23,,12:53,13:23,13:53,13:58,14:23,14:53,,15:23,,15:53,15:58,,16:23,16:53,17:23,17:53,18:23,18:53,19:23,19:53,20:23
Ngã tư Phạm Ngọc Thạch - Trần Ngọc Lên,,,,,,,,6:24,6:48,6:58,7:01,7:08,7:05,7:25,7:20,7:35,,7:55,8:00,,8:25,,8:55,,9:25,9:55,10:00,10:25,10:40,10:55,,11:25,,11:55,12:00,,12:25,,12:55,13:25,13:55,14:00,14:25,14:55,,15:25,,15:55,16:00,,16:25,16:55,17:25,17:55,18:25,18:55,19:25,19:55,20:25
Phạm Ngọc Thạch Số 1,,,,,,,,6:25,6:49,6:59,7:02,7:09,7:06,7:26,7:21,7:36,,7:56,8:01,,8:26,,8:56,,9:26,9:56,10:01,10:26,10:41,10:56,,11:26,,11:56,12:01,,12:26,,12:56,13:26,13:56,14:01,14:26,14:56,,15:26,,15:56,16:01,,16:26,16:56,17:26,17:56,18:26,18:56,19:26,19:56,20:26
Ngã tư Đại lộ Hùng Vương - Võ Văn Kiệt,,,,,,,,6:26,6:50,7:00,7:03,7:10,7:07,7:27,7:22,7:37,"T7,CN",7:57,8:02,"T7,CN",8:27,"T7,CN",8:57,"T7,CN",9:27,9:57,10:02,10:27,10:42,10:57,CN,11:27,CN,11:57,12:02,CN,12:27,CN,12:57,13:27,13:57,14:02,14:27,14:57,"T7,CN",15:27,"T7,CN",15:57,16:02,"T7,CN",16:27,16:57,17:27,17:57,18:27,18:57,19:27,19:57,20:27
SORA gardens,,,,,,,,6:27,6:51,7:01,7:04,7:11,7:08,7:28,7:23,7:38,7:43,7:58,8:03,8:13,8:28,8:43,8:58,9:13,9:28,9:58,10:03,10:28,10:43,10:58,11:13,11:28,11:43,11:58,12:03,12:13,12:28,12:43,12:58,13:28,13:58,14:03,14:28,14:58,15:13,15:28,15:43,15:58,16:03,16:13,16:28,16:58,17:28,17:58,18:28,18:58,19:28,19:58,20:28
Lucky Square,,,,,,,,6:28,6:52,7:02,7:05,7:12,7:09,7:29,7:24,7:39,7:44,7:59,8:04,8:14,8:29,8:44,8:59,9:14,9:29,9:59,10:04,10:29,10:44,10:59,11:14,11:29,11:44,11:59,12:04,12:14,12:29,12:44,12:59,13:29,13:59,14:04,14:29,14:59,15:14,15:29,15:44,15:59,16:04,16:14,16:29,16:59,17:29,17:59,18:29,18:59,19:29,19:59,20:29
Phố Thương mại - Lê Lợi,,,,,,,,6:29,6:53,7:03,7:06,7:13,↓,7:30,↓,↓,7:45,8:00,↓,8:15,8:30,8:45,9:00,9:15,9:30,10:00,↓,10:30,↓,11:00,11:15,11:30,11:45,12:00,↓,12:15,12:30,12:45,13:00,13:30,14:00,↓,14:30,15:00,15:15,15:30,15:45,16:00,↓,16:15,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30
Phố Thương mại - Đồng Khởi,,,,,,,,6:29,6:54,7:04,7:07,7:14,↓,7:31,↓,↓,7:46,8:01,↓,8:16,8:31,8:46,9:01,9:16,9:31,10:01,↓,10:31,↓,11:01,11:16,11:31,11:46,12:01,↓,12:16,12:31,12:46,13:01,13:31,14:01,↓,14:31,15:01,15:16,15:31,15:46,16:01,↓,16:16,16:31,17:01,17:31,18:01,18:31,19:01,19:31,20:01,20:31
Phố Thương mại - Lý Thái Tổ,,,,,,,,6:30,6:55,7:05,↓,7:15,↓,7:32,↓,↓,7:47,8:02,↓,8:17,8:32,8:47,9:02,9:17,9:32,10:02,↓,10:32,↓,11:02,11:17,11:32,11:47,12:02,↓,12:17,12:32,12:47,13:02,13:32,14:02,↓,14:32,15:02,15:17,15:32,15:47,16:02,↓,16:17,16:32,17:02,17:32,18:02,18:32,19:02,19:32,20:02,20:32
Khách sạn Becamex Thành phố Mới,,,,,,,,6:31,6:56,7:06,↓,7:16,7:11,7:33,7:26,7:41,7:48,8:03,8:06,8:18,8:33,8:48,9:03,9:18,9:33,10:03,10:06,10:33,10:46,11:03,11:18,11:33,11:48,12:03,12:06,12:18,12:33,12:48,13:03,13:33,14:03,14:06,14:33,15:03,15:18,15:33,15:48,16:03,16:06,16:18,16:33,17:03,17:33,18:03,18:33,19:03,19:33,20:03,20:33
hikari,,,,,,,,6:33,7:00,7:10,↓,7:20,7:13,7:35,7:28,7:43,7:50,8:05,8:08,8:20,8:35,8:50,9:05,9:20,9:35,10:05,10:08,10:35,10:48,11:05,11:20,11:35,11:50,12:05,12:08,12:20,12:35,12:50,13:05,13:35,14:05,14:08,14:35,15:05,15:20,15:35,15:50,16:05,16:08,16:20,16:35,17:05,17:35,18:05,18:35,19:05,19:35,20:05,20:35
Sảnh sau Trung Tâm Hành Chính (Lưu ý),,,,,,,,↓,7:01,7:11,↓,7:21,7:14,7:36,7:29,7:44,↓,8:06,8:09,↓,8:36,↓,9:06,↓,9:36,10:06,↓,10:36,10:49,11:06,↓,11:36,↓,12:06,12:09,↓,12:36,↓,13:06,13:36,14:06,14:09,14:36,15:06,↓,15:36,↓,16:06,↓,↓,16:36,17:06,↓,,,,,,
Bảo hiểm xã hội tỉnh Bình Dương,,,,,,,,6:33,7:02,7:12,↓,7:22,7:15,7:37,7:30,7:45,7:50,8:07,8:10,8:20,8:37,8:50,9:07,9:20,9:37,10:07,10:10,10:37,10:50,11:07,11:20,11:37,11:50,12:07,12:10,12:20,12:37,12:50,13:07,13:37,14:07,14:10,14:37,15:07,15:20,15:37,15:50,16:07,16:10,16:20,16:37,17:07,17:37,,,,,,
Aroma - Lê Lai,,,,,,,,6:35,7:04,7:14,↓,7:24,7:17,7:39,7:32,7:47,7:52,8:09,8:12,8:22,8:39,8:52,9:09,9:22,9:39,10:09,10:12,10:39,10:52,11:09,11:22,11:39,11:52,12:09,12:12,12:22,12:39,12:52,13:09,13:39,14:09,14:12,14:39,15:09,15:22,15:39,15:52,16:09,16:12,16:22,16:39,17:09,17:39,,,,,,
Đại học Quốc tế Miền Đông,,,,,,,,6:40,7:09,7:19,↓,7:29,7:22,7:44,7:37,7:52,7:57,8:14,8:17,8:27,8:44,8:57,9:14,9:27,9:44,10:14,10:17,10:44,10:57,11:14,11:27,11:44,11:57,12:14,12:17,12:27,12:44,12:57,13:14,13:44,14:14,14:17,14:44,15:14,15:27,15:44,15:57,16:14,16:17,16:27,16:44,17:14,17:44,,,,,,
Trường Ngô Thời Nhiệm,,,,,,,,,,,7:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
