stop_name,stop_lat,stop_lon,stop_desc
hikari,11.058186,106.6837316,null
Trường Ngô Thời Nhiệm,11.053288,106.690113,Lượt đi
Trường Ngô Thời Nhiệm,11.0531284,106.68998,Lượt về
Khách sạn Becamex Thành phố Mới,11.057142,106.684601,Lượt đi
Khách sạn Becamex Thành phố Mới,11.0569454,106.6844385,Lượt về
Đại học Quốc tế Miền Đông,11.0534481,106.6670547,null
SORA gardens,11.047407,106.678266,Lượt về
SORA gardens,11.047045,106.678813,Lượt đi
Chùa Hội An,11.065018,106.686708,Lượt đi
Chùa Hội An,11.065044,106.687018,Lượt đi
Tòa nhà Becamex,10.975774,106.670521,Lượt về
Tòa nhà Becamex,10.9758088,106.6704963,Lượt đi
Sân vận động Gò Đậu - Bình Dương,10.970299,106.670619,Lượt về
Sân vận động Gò Đậu - Bình Dương,10.97031,106.670474,Lượt đi
Bến xe khách tỉnh Bình Dương,10.966375,106.66886,Lượt đi
Bến xe khách tỉnh Bình Dương,10.966333,106.668986,Lượt về
Ngã ba Lò Chén,10.968825,106.660441,Lượt đi
Ngã ba Lò Chén,10.9687267,106.6603734,Lượt về
Nhà sách Bình Minh,10.976323,106.657584,Lượt về
Nhà sách Bình Minh,10.9763659,106.6577244,Lượt đi
Công viên Phú Cường,10.978437,106.656112,Lượt về
Công viên Phú Cường,10.9784859,106.6561948,Lượt đi
Chùa Bà Thiên Hậu,10.980291,106.654154,Lượt về
Chùa Bà Thiên Hậu,10.980299,106.654275,Lượt đi 
Bệnh viện Phụ Sản Nhi Bình Dương,10.982256,106.653027,Lượt về
Bệnh viện Phụ Sản Nhi Bình Dương,10.982282,106.653175,Lượt đi
Chợ Cây Dừa,10.990712,106.650955,Lượt về
Chợ Cây Dừa,10.990714,106.651067,Lượt đi
Công an phường Hiệp Thành,10.99246,106.654159,Lượt đi
Công an phường Hiệp Thành,10.9925446,106.6541456,Lượt về
Thư viện Tỉnh Bình Dương,10.9936651,106.6560862,Lượt đi
Thư viện Tỉnh Bình Dương,10.993714,106.655778,Lượt về
Bệnh viện Đa khoa Tỉnh Bình Dương,10.996406,106.656352,Lượt về
Bệnh viện Đa khoa Tỉnh Bình Dương,10.97031,106.670474,Lượt đi
Ngã tư PNT - Nguyễn Đức Thuận,11.002468,106.66364,Lượt về
Ngã tư PNT - Nguyễn Đức Thuận,11.002186,106.663805,Lượt đi
Trường trung tiểu học Petrus Ký,11.005505,106.666556,Lượt về
Trường trung tiểu học Petrus Ký,11.005322,106.666871,Lượt đi
Ngã tư PNT - Mỹ Phước Tân Vạn,11.0086863,106.6689856,Lượt về
Ngã tư PNT - Mỹ Phước Tân Vạn,11.0085027,106.6691645,Lượt đi
Trung tâm văn hoá thể thao Tp.Thủ Dầu Một,11.013795,106.675175,Lượt về
Trung tâm văn hoá thể thao Tp.Thủ Dầu Một,11.013783,106.675549,Lượt đi
Ngã tư Phạm Ngọc Thạch - Trần Ngọc Lên,11.025842,106.677825,Lượt về
Ngã tư Phạm Ngọc Thạch - Trần Ngọc Lên,11.0247679,106.67798,Lượt đi
Phạm Ngọc Thạch Số 1,11.0350735,106.6784842,Lượt về
Phạm Ngọc Thạch Số 1,11.0351164,106.678784,Lượt đi
Ngã tư Đại lộ Hùng Vương - Võ Văn Kiệt,11.0421631,106.6759042,Lượt về
Ngã tư Đại lộ Hùng Vương - Võ Văn Kiệt,11.0422748,106.676327,Lượt đi
Lucky Square,11.05219,106.682473,Lượt đi
Lucky Square,11.052596,106.68201,Lượt về
Phố Thương mại - Lê Lợi,11.0517194,106.6844111,Lượt về
Phố Thương mại - Lê Lợi,11.05188,106.684486,Lượt đi
Phố Thương mại - Đồng Khởi,11.0531575,106.6863081,Lượt về
Phố Thương mại - Đồng Khởi,11.0531158,106.6865134,Lượt đi
Phố Thương mại - Lý Thái Tổ,11.0551582,106.6870726,Lượt về
Phố Thương mại - Lý Thái Tổ,11.055358,106.687171,Lượt đi
Khách sạn Becamex Thành phố Mới,11.056962,106.684493,Lượt về
Khách sạn Becamex Thành phố Mới,11.0571726,106.6846084,Lượt đi
Bảo hiểm xã hội tỉnh Bình Dương,11.058865,106.68128,Lượt đi
Bảo hiểm xã hội tỉnh Bình Dương,11.05877,106.681334,Lượt về
Aroma - Lê Lai,11.057305,106.67513,Lượt đi
Aroma - Lê Lai,11.0573054,106.6751255,Lượt về
Ngã ba Cây Me,10.963715,106.671637,Lượt đi
Ngã ba Cây Me,10.963581,106.671589,Lượt về
Ủy Ban Nhân Dân phường Phú Thọ,10.962045,106.6752,Lượt đi
Ủy Ban Nhân Dân phường Phú Thọ,10.9620774,106.6751854,Lượt về
Ngã tư Địa Chất,10.965206,106.682667,Lượt đi
Ngã tư Địa Chất,10.965249,106.682638,Lượt về
Ngã tư Lê Hồng Phong - Đại Lộ BD,10.967224,106.683053,Lượt về
Ngã tư Lê Hồng Phong - Đại Lộ BD,10.967225,106.683102,Lượt đi
Trường Cao Đẳng Y Tế Bình Dương,10.9704603,106.6825286,Lượt đi
Trường Cao Đẳng Y Tế Bình Dương,10.970458,106.682494,Lượt về
Khu dân cư Phú Hòa,10.9743024,106.6789333,Lượt về
Khu dân cư Phú Hòa,10.974357,106.678944,Lượt đi
Ngã ba Lê Hồng Phong - D1,10.974081,106.68182,Lượt đi
Ngã ba Lê Hồng Phong - D1,10.97406,106.68178,Lượt về
Lê Hồng Phong Khu Phố 8,10.9788409,106.6809241,Lượt đi
Lê Hồng Phong Khu Phố 8,10.978843,106.680872,Lượt về
Trường trung học cơ sở Phú Hòa,10.9831749,106.6800804,Lượt đi
Trường trung học cơ sở Phú Hòa,10.983175,106.680025,Lượt về
Ngã ba Phú Lợi - Lê Thị Trung,10.9831923,106.6743328,Lượt về
Ngã ba Phú Lợi - Lê Thị Trung,10.983205,106.674368,Lượt đi
Cục Thống Kê Bình Dương,10.9857788,106.6738433,Lượt về
Cục Thống Kê Bình Dương,10.985794,106.673899,Lượt đi
Ngã ba Huỳnh Văn Lũy - Lê Hồng Phong,10.990369,106.673686,Lượt đi
Ngã ba Huỳnh Văn Lũy - Lê Hồng Phong,10.99048,106.673606,Lượt về
Trung tâm văn hóa thể thao phường Phú Lợi,10.998987,106.675147,Lượt đi
Trung tâm văn hóa thể thao phường Phú Lợi,10.998997,106.675017,Lượt về
Ngã tư Huỳnh Văn Lũy - Mỹ Phước Tân Vạn,11.0032322,106.6757822,Lượt đi
Ngã tư Huỳnh Văn Lũy - Mỹ Phước Tân Vạn,11.003245,106.675654,Lượt về
Ủy Ban Nhân Dân phường Phú Mỹ,11.011197,106.676375,Lượt về
Ủy Ban Nhân Dân phường Phú Mỹ,11.011196,106.676513,Lượt đi
Phòng khám Đa khoa Khu vực Phú Mỹ,11.035819,106.682281,Lượt về
Phòng khám Đa khoa Khu vực Phú Mỹ,11.0357851,106.6824131,Lượt đi
Unitown - Lê Hoàn,11.071047,106.685606,Lượt đi
Unitown - Lê Hoàn,11.070958,106.685335,Lượt về
Cổng VSIP 2,11.073224,106.684795,Lượt về
Cổng VSIP 2,11.073229,106.68497,Lượt đi
Ngã Ba Đại Lộ BD - Huỳnh Văn Lũy,10.9857346,106.6656242,Lượt về
Ngã Ba Đại Lộ BD - Huỳnh Văn Lũy,10.9858344,106.6658682,Lượt đi
MIDORI PARK,11.068816,106.677436,Lượt đi
MIDORI PARK,11.0688573,106.6770981,Lượt về
Chợ Hòa Lợi,11.07713,106.6746204,Lượt về
Chợ Hòa Lợi,11.0771814,106.6748053,Lượt đi
Nhà ở an sinh xã hội Hòa Lợi,11.0839438,106.6730673,Lượt về
Nhà ở an sinh xã hội Hòa Lợi,11.0839917,106.6732503,Lượt đi
VSIP2 Dân Chủ - Vành Đai 1,11.084776,106.675501,Lượt đi
VSIP2 Dân Chủ - Vành Đai 1,11.0848774,106.67547,Lượt về
VSIP2 Dân Chủ - Thống Nhất,11.086236,106.681334,Lượt về
VSIP2 Dân Chủ - Thống Nhất,11.086101,106.681365,Lượt đi
VSIP2 Thống Nhất - Đường số 6,11.089439,106.681251,Lượt đi
VSIP2 Thống Nhất - Đường số 6,11.089417,106.681115,Lượt về
VSIP2 Thống Nhất - Đường số 7,11.092152,106.6804814,Lượt về
VSIP2 Thống Nhất - Đường số 7,11.09218,106.680632,Lượt đi
VSIP2 Thống Nhất - Dân Chủ,11.085568,106.682152,Lượt đi
VSIP2 Thống Nhất - Dân Chủ,11.08555,106.682014,Lượt về
VSIP2 Thống Nhất - Đường số 2,11.077648,106.683996,Lượt đi
VSIP2 Thống Nhất - Đường số 2,11.077623,106.683823,Lượt về
VSIP2 Thống Nhất - Đường số 4,11.082654,106.682838,Lượt đi
VSIP2 Thống Nhất - Đường số 4,11.08261,106.682701,Lượt về
Chợ Phú Chánh,11.0755935,106.6924848,null
Đường số 3 - Trần Quốc Toản,11.0747545,106.6910338,null
Đường số 3 - số 38,11.0706664,106.6919751,null
Trường Nguyễn Khuyến,11.0617739,106.6925683,null
Công viên trung tâm Thành phố Mới BD,11.0488837,106.6763305,null
Becamex UDJ Lake View,11.0494553,106.6727532,null
Cafe Lucky,10.963918,106.679643,Lượt đi
Cafe Lucky,10.963968,106.679622,Lượt về
Đường số 3 - số 8,11.063523,106.693633,null
Công ty VNTT,11.06428,106.675105,null
TDC Plaza,11.059496,106.675456,null
Cổng Bắc Đại học Quốc tế Miền Đông,11.055015,106.6658373,null
Trung tâm thể thao Thành phố Mới BD,11.048716,106.681057,null
Công ty Becamex Tokyu,11.046023,106.679306,null
Sảnh sau Trung Tâm Hành Chính (Lưu ý),11.056607,106.681894,null
Ban QL Phát Triển Khu Liên Hợp BD,11.047586,106.6878,Lượt đi
Ban QL Phát Triển Khu Liên Hợp BD,"11.047720, ",106.687597,Lượt về
Ngã ba Huỳnh Văn Lũy - Trần Ngọc Lên,11.025353,106.679194,Lượt đi
Ngã ba Huỳnh Văn Lũy - Trần Ngọc Lên,11.025381,106.679083,Lượt về
Ngã ba Phú Mỹ,11.01414,106.676533,Lượt đi
Ngã ba Phú Mỹ,11.014172,106.676379,Lượt về
Ngã ba Huỳnh Văn Lũy - Lê Hồng Phong,10.990376,106.673318,Lượt về
Ngã ba Huỳnh Văn Lũy - Lê Hồng Phong,10.990205,106.67349,Lượt đi
Trường Đại Học Mở,10.987938,106.67342,Lượt về
Trường Đại Học Mở,10.988063,106.673276,Lượt đi
Ngã ba Phú Lợi - Huỳnh Văn Nghệ,10.983419,106.677334,Lượt đi
Ngã ba Phú Lợi - Huỳnh Văn Nghệ,10.983215,106.677445,Lượt về
